"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"A02BC","PROTON PUMP INHIBITORS","INHIBITEURS DE LA POMPE A PROTONS","PROTONENPUMPENHEMMER"
"A02BC01","OMEPRAZOLE","OMEPRAZOLE","OMEPRAZOL"
"A02BC02","PANTOPRAZOLE","PANTOPRAZOLE","PANTOPRAZOL"
"A02BC03","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOL"
"A02BC04","RABEPRAZOLE","RABEPRAZOLE","RABEPRAZOL"
"A02BC05","ESOMEPRAZOLE","ESOMEPRAZOLE","ESOMEPRAZOL"
"A02BD","COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI","ASSOCIATIONS POUR L'ERADICATION D'HELICOBACTER PYLORI","KOMBINATIONEN ZUR ERADIKATION VON HELICOBACTER PYLORI"
"A02BD01","OMEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE","OMEPRAZOLE, AMOXICILLINE ET METRONIDAZOLE","OMEPRAZOL, AMOXICILLIN UND METRONIDAZOL"
"A02BD02","LANSOPRAZOLE, TETRACYCLINE AND METRONIDAZOLE","LANSOPRAZOLE, TETRACYCLINE ET METRONIDAZOLE","LANSOPRAZOL, TETRACYCLIN UND METRONIDAZOL"
"A02BD03","LANSOPRAZOLE, AMOXICILLIN AND METRONIDAZOLE","LANSOPRAZOLE, AMOXICILLINE ET METRONIDAZOLE","LANSOPRAZOL, AMOXICILLIN UND METRONIDAZOL"
"A02BD04","PANTOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN","PANTOPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE","PANTOPRAZOL, AMOXICILLIN UND CLARITHROMYCIN"
"A02BD05","OMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN","OMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE","OMEPRAZOL, AMOXICILLIN UND CLARITHROMYCIN"
"A02BD06","ESOMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE","ESOMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE","ESOMEPRAZOL, AMOXICILLIN UND CLARITHROMYCIN"
"A02BD07","LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN","LANSOPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE","LANSOPRAZOL, AMOXICILLIN UND CLARITHROMYCIN"
"A02BX","OTHER DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE","AUTRES MEDICAMENTS POUR L'ULCERE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)","ANDERE MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT"
"A02BX01","CARBENOXOLONE","CARBENOXOLONE","CARBENOXOLON"
"A02BX02","SUCRALFATE","SUCRALFATE","SUCRALFAT"
"A02BX03","PIRENZEPINE","PIRENZEPINE","PIRENZEPIN"
"A02BX04","METHIOSULFONIUM CHLORIDE","METHIOSULFONIUM CHLORURE","METHIOSULFONIUMCHLORID"
"A02BX05","BISMUTH SUBCITRATE","BISMUTH SUBCITRATE","BISMUTSUBCITRAT"
"A02BX06","PROGLUMIDE","PROGLUMIDE","PROGLUMID"
"A02BX07","GEFARNATE","GEFARNATE","GEFARNAT"
"A02BX08","SULGLICOTIDE","SULGLICOTIDE","SULGLICOTID"
"A02BX09","ACETOXOLONE","ACETOXOLONE","ACETOXOLON"
"A02BX10","ZOLIMIDINE","ZOLIMIDINE","ZOLIMIDIN"
"A02BX11","TROXIPIDE","TROXIPIDE","TROXIPID"
"A02BX12","BISMUTH SUBNITRATE","BISMUTH SOUS NITRATE","BISMUTSUBNITRAT"
"A02BX13","ALGINIC ACID","ACIDE ALGINIQUE","ALGINSÄURE"
"A02BX51","CARBENOXOLONE, COMBINATIONS EXCL. PSYCHOLEPTICS","CARBENOXOLONE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES","CARBENOXOLON, KOMBINATIONEN EXKL. PSYCHOLEPTIKA"
"A02BX71","CARBENOXOLONE, COMBINATIONS WITH PSYCHOLEPTICS","CARBENOXOLONE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","CARBENOXOLON, KOMBINATIONEN MIT PSYCHOLEPTIKA"
"A02BX77","GEFARNATE, COMBINATIONS WITH PSYCHOLEPTICS","GEFARNATE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","GEFARNAT, KOMBINATIONEN MIT PSYCHOLEPTIKA"
"A02X","OTHER ANTACIDS, DRUGS FOR TREATMENT OF PEPTIC ULCER AND FLATULENCE","AUTRES ANTIACIDES, MEDICAMENTS DE L'ULCERE PEPTIQUE ET DES FLATULENCES","ANDERE MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"
"A03","DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS","MEDICAMENTS CONTRE LES DESORDRES FONCTIONNELS GASTRO-INTESTINAUX","MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN"
"A03A","DRUGS FOR FUNCTIONAL BOWEL DISORDERS","MEDICAMENTS CONTRE LES DESORDRES FONCTIONNELS INTESTINAUX","MITTEL BEI FUNKTIONELLEN STÖRUNGEN DES DARMS"
"A03AA","SYNTHETIC ANTICHOLINERGICS, ESTERS WITH TERTIARY AMINO GROUP","ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE","SYNTHETISCHE ANTICHOLINERGIKA, ESTER MIT TERTIÄREN AMINOGRUPPEN"
"A03AA01","OXYPHENCYCLIMINE","OXYPHENCYCLIMINE","OXYPHENCYCLIMIN"
"A03AA03","CAMYLOFIN","CAMYLOFINE","CAMYLOFIN"
"A03AA04","MEBEVERINE","MEBEVERINE","MEBEVERIN"
"A03AA05","TRIMEBUTINE","TRIMEBUTINE","TRIMEBUTIN"
"A03AA06","ROCIVERINE","ROCIVERINE","ROCIVERIN"
"A03AA07","DICYCLOVERINE","DICYCLOVERINE","DICYCLOVERIN"
"A03AA08","DIHEXYVERINE","DIHEXYVERINE","DIHEXYVERIN"
"A03AA09","DIFEMERINE","DIFEMERINE","DIFEMERIN"
"A03AA30","PIPERIDOLATE","PIPERIDOLATE","PIPERIDOLAT"
"A03AB","SYNTHETIC ANTICHOLINERGICS, QUATERNARY AMMONIUM COMPOUNDS","ANTICHOLINERGIQUES DE SYNTHESE : AMMONIUMS QUATERNAIRES","SYNTHETISCHE ANTICHOLINERGIKA, QUARTÄRE AMMONIUM-VERBINDUNGEN"
"A03AB01","BENZILONE","BENZILONE","BENZILON"
"A03AB02","GLYCOPYRRONIUM","GLYCOPYRRONIUM","GLYCOPYRRONIUM"
"A03AB03","OXYPHENONIUM","OXYPHENONIUM","OXYPHENONIUM"
"A03AB04","PENTHIENATE","PENTHIENATE","PENTHIENAT"
"A03AB05","PROPANTHELINE","PROPANTHELINE","PROPANTHELIN"
"A03AB06","OTILONIUM BROMIDE","OTILONIUM BROMURE","OTILONIUMBROMID"
"A03AB07","METHANTHELINE","METHANTHELINE","METHANTHELINIUM"
"A03AB08","TRIDIHEXETHYL","TRIDIHEXETHYL","TRIDIHEXETHYL"
"A03AB09","ISOPROPAMIDE","ISOPROPAMIDE","ISOPROPAMID"
"A03AB10","HEXOCYCLIUM","HEXOCYCLIUM","HEXOCYCLIUM"
"A03AB11","POLDINE","POLDINE","POLDIN"
"A03AB12","MEPENZOLATE","MEPENZOLATE","MEPENZOLAT"
"A03AB13","BEVONIUM","BEVONIUM","BEVONIUM"
"A03AB14","PIPENZOLATE","PIPENZOLATE","PIPENZOLAT"
"A03AB15","DIPHEMANIL","DIPHEMANIL","DIPHEMANIL"
"A03AB16","(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE","(2-BENZHYDRYLOXYETHYL) DIETHYLMETHYLAMMONIUM IODURE","(2-BENZHYDRYLOXYETHYL)DIETHYLMETHYLAMMONIUMIODID"
"A03AB17","TIEMONIUM IODIDE","TIEMONIUM IODURE","TIEMONIUMIODID"
"A03AB18","PRIFINIUM BROMIDE","PRIFINIUM BROMURE","PRIFINIUMBROMID"
"A03AB19","TIMEPIDIUM BROMIDE","TIMEPIDIUM BROMURE","TIMEPIDIUMBROMID"
"A03AB21","FENPIVERINIUM","FENPIVERINIUM","FENPIVERINIUM"
"A03AB53","OXYPHENONIUM, COMBINATIONS","OXYPHENONIUM EN ASSOCIATION","OXYPHENONIUM, KOMBINATIONEN"
"A03AC","SYNTHETIC ANTISPASMODICS, AMIDES WITH TERTIARY AMINES","ANTISPASMODIQUES DE SYNTHESE : AMIDES AVEC GROUPEMENT AMINE TERTIAIRE","SYNTHETISCHE SPASMOLYTIKA, AMIDE MIT TERTIÄREN AMINEN"
"A03AC02","DIMETHYLAMINOPROPIONYLPHENOTHIAZINE","DIMETHYLAMINOPROPIONYLPHENOTHIAZINE","DIMETHYLAMINOPROPIONYLPHENOTHIAZIN"
"A03AC04","NICOFETAMIDE","NICOFETAMIDE","NICOFETAMID"
"A03AC05","TIROPRAMIDE","TIROPRAMIDE","TIROPRAMID"
"A03AD","PAPAVERINE AND DERIVATIVES","PAPAVERINE ET DERIVES","PAPAVERIN UND DERIVATE"
"A03AD01","PAPAVERINE","PAPAVERINE","PAPAVERIN"
"A03AD02","DROTAVERINE","DROTAVERINE","DROTAVERIN"
"A03AD30","MOXAVERINE","MOXAVERINE","MOXAVERIN"
"A03AD51","PAPAVERINE, COMBINATIONS","PAPAVERINE EN ASSOCIATION","PAPAVERIN, KOMBINATIONEN"
"A03AE","DRUGS ACTING ON SEROTONIN RECEPTORS","MEDICAMENTS AGISSANT SUR LES RECEPTEURS SEROTONINERGIQUES","AUF SEROTONIN-REZEPTOREN WIRKENDE MITTEL"
"A03AE01","ALOSETRON","ALOSETRON","ALOSETRON"
"A03AE02","TEGASEROD","TEGASEROD","TEGASEROD"
"A03AX","OTHER DRUGS FOR FUNCTIONAL BOWEL DISORDERS","AUTRES MEDICAMENTS CONTRE LES DESORDRES FONCTIONNELS INTESTINAUX","ANDERE MITTEL BEI FUNKTIONELLEN STÖRUNGEN DES DARMS"
"A03AX01","FENPIPRANE","FENPIPRANE","FENPIPRAN"
"A03AX02","DIISOPROMINE","DIISOPROMINE","DIISOPROMIN"
"A03AX03","CHLORBENZOXAMINE","CHLORBENZOXAMINE","CHLORBENZOXAMIN"
"A03AX04","PINAVERIUM","PINAVERIUM","PINAVERIUM"
"A03AX05","FENOVERINE","FENOVERINE","FENOVERIN"
"A03AX06","IDANPRAMINE","IDANPRAMINE","IDANPRAMIN"
"A03AX07","PROXAZOLE","PROXAZOLE","PROXAZOL"
"A03AX08","ALVERINE","ALVERINE","ALVERIN"
"A03AX09","TREPIBUTONE","TREPIBUTONE","TREPIBUTON"
"A03AX10","ISOMETHEPTENE","ISOMETHEPTENE","ISOMETHEPTEN"
"A03AX11","CAROVERINE","CAROVERINE","CAROVERIN"
"A03AX12","PHLOROGLUCINOL","PHLOROGLUCINOL","PHLOROGLUCINOL"
"A03AX13","SILICONES","SILICONES","SILIKONE"
"A03AX30","TRIMETHYLDIPHENYLPROPYLAMINE","TRIMETHYLDIPHENYLPROPYLAMINE","TRIMETHYLDIPHENYLPROPYLAMIN"
"A03AX58","ALVERINE, COMBINATIONS","ALVERINE EN ASSOCIATION","ALVERIN, KOMBINATIONEN"
"A03B","BELLADONNA AND DERIVATIVES, PLAIN","BELLADONE ET DERIVES","BELLADONNA UND DERIVATE, REIN"
"A03BA","BELLADONNA ALKALOIDS, TERTIARY AMINES","ALCALOÏDES DE LA BELLADONE : AMINES TERTIAIRES","BELLADONNA-ALKALOIDE, TERTIÄRE AMINE"
"A03BA01","ATROPINE","ATROPINE","ATROPIN"
"A03BA03","HYOSCYAMINE","HYOSCYAMINE","HYOSCYAMIN"
"A03BA04","BELLADONNA TOTAL ALKALOIDS","ALCALOÏDES TOTAUX DE LA BELLADONE","BELLADONNA-GESAMTALKALOIDE"
"A03BB","BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS","ALCALOÏDES HEMISYNTHETIQUES DE LA BELLADONE : AMMONIUMS QUATERNAIRES","BELLADONNA-ALKALOIDE, HALBSYNTHETISCH, QUARTÄRE AMMONIUM-VERBINDUNGEN"
"A03BB01","BUTYLSCOPOLAMINE","BUTYLSCOPOLAMINE","BUTYLSCOPOLAMIN"
"A03BB02","METHYLATROPINE","METHYLATROPINE","METHYLATROPIN"
"A03BB03","METHYLSCOPOLAMINE","METHYLSCOPOLAMINE","METHYLSCOPOLAMIN"
"A03BB04","FENTONIUM","FENTONIUM","FENTONIUM"
"A03BB05","CIMETROPIUM BROMIDE","CIMETROPIUM BROMURE","CIMETROPIUMBROMID"
"A03C","ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS","ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","SPASMOLYTIKA IN KOMBINATION MIT PSYCHOLEPTIKA"
"A03CA","SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH PSYCHOLEPTICS","ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","SYNTHETISCHE ANTICHOLINERGIKA IN KOMBINATION MIT PSYCHOLEPTIKA"
"A03CA01","ISOPROPAMIDE AND PSYCHOLEPTICS","ISOPROPAMIDE ET PSYCHOLEPTIQUES","ISOPROPAMID UND PSYCHOLEPTIKA"
"A03CA02","CLIDINIUM AND PSYCHOLEPTICS","CLIDINIUM ET PSYCHOLEPTIQUES","CLIDINIUM UND PSYCHOLEPTIKA"
"A03CA03","OXYPHENCYCLIMINE AND PSYCHOLEPTICS","OXYPHENCYCLIMINE ET PSYCHOLEPTIQUES","OXYPHENCYCLIMIN UND PSYCHOLEPTIKA"
"A03CA04","OTILONIUM BROMIDE AND PSYCHOLEPTICS","OTILONIUM BROMURE ET PSYCHOLEPTIQUES","OTILONIUMBROMID UND PSYCHOLEPTIKA"
"A03CA05","GLYCOPYRRONIUM AND PSYCHOLEPTICS","GLYCOPYRRONIUM ET PSYCHOLEPTIQUES","GLYCOPYRRONIUM UND PSYCHOLEPTIKA"
"A03CA06","BEVONIUM AND PSYCHOLEPTICS","BEVONIUM ET PSYCHOLEPTIQUES","BEVONIUM UND PSYCHOLEPTIKA"
"A03CA07","AMBUTONIUM AND PSYCHOLEPTICS","AMBUTONIUM ET PSYCHOLEPTIQUES","AMBUTONIUM UND PSYCHOLEPTIKA"
"A03CA08","DIPHEMANIL AND PSYCHOLEPTICS","DIPHEMANIL ET PSYCHOLEPTIQUES","DIPHEMANIL UND PSYCHOLEPTIKA"
"A03CA30","EMEPRONIUM AND PSYCHOLEPTICS","EMEPRONIUM ET PSYCHOLEPTIQUES","EMEPRONIUM UND PSYCHOLEPTIKA"
"A03CA34","PROPANTHELINE AND PSYCHOLEPTICS","PROPANTHELINE ET PSYCHOLEPTIQUES","PROPANTHELIN UND PSYCHOLEPTIKA"
"A03CB","BELLADONNA AND DERIVATIVES IN COMBINATION WITH PSYCHOLEPTICS","BELLADONE ET DERIVES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","BELLADONNA UND DERIVATE IN KOMBINATION MIT PSYCHOLEPTIKA"
"A03CB01","METHYLSCOPOLAMINE AND PSYCHOLEPTICS","METHYLSCOPOLAMINE ET PSYCHOLEPTIQUES","METHYLSCOPOLAMIN UND PSYCHOLEPTIKA"
"A03CB02","BELLADONNA TOTAL ALKALOIDS AND PSYCHOLEPTICS","ALCALOÏDES TOTAUX DE LA BELLADONE ET PSYCHOLEPTIQUES","BELLADONNA-GESAMTALKALOIDE UND PSYCHOLEPTIKA"
"A03CB03","ATROPINE AND PSYCHOLEPTICS","ATROPINE ET PSYCHOLEPTIQUES","ATROPIN UND PSYCHOLEPTIKA"
"A03CB04","METHYLHOMATROPINE AND PSYCHOLEPTICS","METHYLHOMATROPINE ET PSYCHOLEPTIQUES","METHYLHOMATROPIN UND PSYCHOLEPTIKA"
"A03CB31","HYOSCYAMINE AND PSYCHOLEPTICS","HYOSCYAMINE ET PSYCHOLEPTIQUES","HYOSCYAMIN UND PSYCHOLEPTIKA"
"A03CC","OTHER ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS","AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","ANDERE SPASMOLYTIKA IN KOMBINATION MIT PSYCHOLEPTIKA"
"A03D","ANTISPASMODICS IN COMBINATION WITH ANALGESICS","ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES","SPASMOLYTIKA IN KOMBINATION MIT ANALGETIKA"
"A03DA","SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH ANALGESICS","ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES ANALGESIQUES","SYNTHETISCHE ANTICHOLINERGIKA IN KOMBINATION MIT ANALGETIKA"
"A03DA01","TROPENZILONE AND ANALGESICS","TROPENZILONE ET ANALGESIQUES","TROPENZILON UND ANALGETIKA"
"A03DA02","PITOFENONE AND ANALGESICS","PITOFENONE ET ANALGESIQUES","PITOFENON UND ANALGETIKA"
"A03DA03","BEVONIUM AND ANALGESICS","BEVONIUM ET ANALGESIQUES","BEVONIUM UND ANALGETIKA"
